day,count,ret_ipo_mean,ret_ipo_median,ret_close_mean,ret_close_median,기관,외국인총합계,개인,금융투자,보험,투신,사모펀드,은행,연기금,기타금융기관,국가_지자체,기타법인
205,295,22.05,-6.87,-12.37,-34.52,-410.71,-26.92,631.26,-69.18,1.9,-31.95,-216.7,-17.41,13.44,-90.8,0.0,-193.64
206,295,22.31,-6.15,-12.1,-35.51,-411.15,-27.12,632.02,-69.25,1.93,-31.93,-217.09,-17.4,13.49,-90.88,0.0,-193.76
207,294,21.81,-5.62,-12.54,-35.81,-412.66,-27.26,634.23,-69.52,1.88,-31.98,-217.79,-17.49,13.36,-91.13,0.0,-194.32
208,294,21.34,-6.03,-12.77,-36.66,-412.93,-25.21,632.92,-69.63,1.86,-31.93,-217.73,-17.51,13.52,-91.5,0.0,-194.79
209,294,21.31,-4.93,-12.64,-35.39,-412.66,-26.62,634.12,-69.42,1.87,-31.94,-217.55,-17.53,13.53,-91.61,0.0,-194.84
210,294,21.2,-6.3,-12.44,-34.85,-412.54,-26.17,633.97,-69.36,1.77,-31.79,-217.57,-17.51,13.68,-91.76,0.0,-195.26
211,294,20.53,-6.13,-12.98,-35.31,-412.82,-26.11,634.24,-69.31,1.72,-31.87,-217.6,-17.53,13.66,-91.9,0.0,-195.31
212,294,20.19,-6.6,-13.1,-35.17,-413.21,-25.52,634.69,-69.35,1.64,-31.75,-217.85,-17.54,13.63,-92.0,0.0,-195.96
213,294,19.92,-6.27,-13.22,-36.71,-413.1,-25.22,634.44,-69.38,1.68,-31.53,-218.01,-17.54,13.73,-92.04,0.0,-196.13
214,294,19.98,-7.77,-13.11,-36.46,-413.06,-24.31,633.75,-69.19,1.65,-31.4,-218.0,-17.54,13.66,-92.23,0.0,-196.38
215,293,19.92,-9.18,-13.54,-36.68,-413.55,-25.17,635.58,-69.26,1.77,-31.21,-218.49,-17.6,13.81,-92.55,0.0,-196.87
216,292,20.22,-9.25,-13.22,-37.11,-414.43,-24.65,636.54,-69.35,1.77,-31.39,-218.97,-17.66,14.02,-92.84,0.0,-197.46
217,290,18.93,-8.69,-13.89,-38.02,-414.6,-25.36,638.15,-69.34,1.84,-31.33,-219.16,-17.49,14.16,-93.27,0.0,-198.19
218,290,18.88,-9.43,-13.88,-37.0,-415.13,-25.86,639.47,-69.27,1.83,-31.49,-219.44,-17.49,14.05,-93.32,0.0,-198.48
219,290,19.3,-10.24,-13.71,-37.39,-415.3,-26.5,640.66,-69.26,1.86,-31.48,-219.62,-17.5,14.04,-93.34,0.0,-198.86
220,290,19.45,-10.8,-13.46,-37.09,-415.44,-26.18,640.55,-69.23,1.94,-31.4,-219.9,-17.49,14.09,-93.44,0.0,-198.93
221,290,18.99,-8.72,-13.85,-36.37,-415.86,-26.92,641.93,-69.26,1.95,-31.53,-220.05,-17.49,14.07,-93.55,0.0,-199.16
222,290,18.7,-9.97,-14.14,-35.25,-415.98,-27.69,643.07,-69.47,1.91,-31.26,-220.13,-17.48,14.05,-93.61,0.0,-199.41
223,290,18.34,-9.21,-14.5,-35.52,-416.58,-28.35,644.53,-69.58,1.94,-31.6,-220.18,-17.48,13.94,-93.62,0.0,-199.6
